view,prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp,8421,1024,"[2667, 4432, 2179]",5,0.27981866239622766,32,512,512,adamax,0.00011279239075596563,0.035697306318359275,True,0.0006144005547793461,False,0.002918196944857465,0.00017195600882627916,0.004767353777099809,-0.18864746545036692
ecfp,8421,1024,"[320, 1979, 1962]",5,0.3055480738759473,32,512,512,adadelta,0.0001754520064102077,0.0084630905657755,False,0.0020090764971192688,True,0.000190566563775159,0.21140422112684476,0.007523388120236453,-0.168699723142866
ecfp,8421,1024,"[320, 1979, 1962]",5,0.3055480738759473,32,512,512,adadelta,0.0001754520064102077,0.0084630905657755,False,0.0020090764971192688,True,0.000190566563775159,0.21140422112684476,0.007523388120236453,-0.16130843116146779
ecfp,8421,1024,"[320, 1979, 1962]",5,0.3055480738759473,32,512,512,adadelta,0.0001754520064102077,0.0084630905657755,False,0.0020090764971192688,True,0.000190566563775159,0.21140422112684476,0.007523388120236453,-0.1538370964923746
ecfp,8421,1024,"[429, 1310]",5,0.034698410408518385,64,512,512,adam,0.10636128378784918,0.0002812517802156541,False,0.05237692147912267,False,0.06199624208394931,0.35599647948866525,0.34755453637465844,-0.1526938703580271
ecfp,8421,1024,"[320, 1979, 1962]",5,0.3055480738759473,32,512,512,adadelta,0.0001754520064102077,0.0084630905657755,False,0.0020090764971192688,True,0.000190566563775159,0.21140422112684476,0.007523388120236453,-0.14918249600006975
ecfp,8421,1024,"[3074, 3768]",5,0.2710120701983128,128,512,512,sgd,0.0009253183502214668,0.00021166727155123976,True,0.09755655755123398,False,0.003120156590595998,0.003743760967000983,0.00010783611137007606,-0.14694753129857904
ecfp,8421,1024,"[807, 1051, 2816, 2385]",5,0.010985813916506416,32,512,512,adadelta,0.036890724596271275,0.031359605246045495,False,0.02518857685678555,False,0.0014725320311976945,0.21104715721235656,0.05080049530746684,-0.1417662336929795
ecfp,8421,1024,"[807, 1051, 2816, 2385]",5,0.010985813916506416,32,512,512,adadelta,0.036890724596271275,0.031359605246045495,False,0.02518857685678555,False,0.0014725320311976945,0.21104715721235656,0.05080049530746684,-0.14067792599249065
ecfp,8421,1024,"[3875, 2001]",5,0.12708299568011625,64,512,512,rmsprop,0.00693351880229463,0.0005924904042899661,True,0.1869433555634354,False,0.05148749822573621,0.1723878729605682,0.2980496510496199,-0.1335411079519863
ecfp,8421,1024,"[807, 1051, 2816, 2385]",5,0.010985813916506416,32,512,512,adadelta,0.036890724596271275,0.031359605246045495,False,0.02518857685678555,False,0.0014725320311976945,0.21104715721235656,0.05080049530746684,-0.1261308947524739
ecfp,8421,1024,842,5,0.13695043963216894,32,512,512,adagrad,0.3174656341411263,0.011345649239125951,True,0.03315765399440124,False,0.005421605644664171,0.17856604852500213,0.7236584290744597,-0.12555038697204152
ecfp,8421,1024,"[3074, 3768]",5,0.2710120701983128,128,512,512,sgd,0.0009253183502214668,0.00021166727155123976,True,0.09755655755123398,False,0.003120156590595998,0.003743760967000983,0.00010783611137007606,-0.12042754761537863
ecfp,8421,1024,"[429, 1310]",5,0.034698410408518385,64,512,512,adam,0.10636128378784918,0.0002812517802156541,False,0.05237692147912267,False,0.06199624208394931,0.35599647948866525,0.34755453637465844,-0.1145209125308046
ecfp,8421,1024,"[3074, 3768]",5,0.2710120701983128,128,512,512,sgd,0.0009253183502214668,0.00021166727155123976,True,0.09755655755123398,False,0.003120156590595998,0.003743760967000983,0.00010783611137007606,-0.10951701191893033
ecfp,8421,1024,"[429, 1310]",5,0.034698410408518385,64,512,512,adam,0.10636128378784918,0.0002812517802156541,False,0.05237692147912267,False,0.06199624208394931,0.35599647948866525,0.34755453637465844,-0.10216554972835429
ecfp,8421,1024,842,5,0.13695043963216894,32,512,512,adagrad,0.3174656341411263,0.011345649239125951,True,0.03315765399440124,False,0.005421605644664171,0.17856604852500213,0.7236584290744597,-0.10155277789146865
