prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__sgd__weight_decay,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__sgd__lr,optimizer__adam__weight_decay,optimizer__adam__lr,optimizer__adam__amsgrad,optimizer__adadelta__lr,optimizer__adadelta__weight_decay,optimizer__adadelta__rho,optimizer__adagrad__lr,optimizer__adagrad__lr_decay,optimizer__adagrad__weight_decay,optimizer__adamax__lr,optimizer__adamax__weight_decay,optimizer__rmsprop__lr,optimizer__rmsprop__weight_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
8421,1024,"[4937, 1342, 629]",2,0.011616476639851618,128,512,512,rmsprop,0.00264299033224774,True,0.0030072083672198382,0.07832920285780966,0.0002683240116670434,0.009890501160825401,True,0.34254713811526705,0.35703422281404446,0.013917216461428017,0.019073645072715056,0.00022223644469327982,0.29722394581172396,0.0017937952414814346,0.000212538961010033,0.022682628677731603,0.00028845734216929544,0.26469881379948773,False,-10.015382868060309
8421,1024,[4501],7,0.021873926431524998,256,512,512,adagrad,0.26298350379437363,False,0.004358854410878029,0.17455416077199146,0.0009935890396232199,0.9314532989845393,False,0.0004189666673100137,0.019646663646398412,0.7226398911820459,0.00035944043379391294,0.9259108296893966,0.01239036730296492,0.001261833118418333,0.045891250053899164,0.00021109691147842393,0.01521581043626918,0.10023587198848469,True,-0.3916307548115013
8421,1024,"[316, 1443]",2,0.019607892589782173,256,512,512,adamax,0.03051097857659267,True,0.012530120776406554,0.008291558693988768,0.15510301806904,0.0023172599808254785,True,0.00797291237503992,0.9835222811681138,0.015020497988382082,0.00017816531681275367,0.7810334742438784,0.08941797946878433,0.07728186741533126,0.0005375931785750866,0.04024207207204102,0.12519485459601423,0.48795281153163605,False,0.08176374134413852
8421,1024,"[2239, 2727]",4,0.13675415093762042,32,512,512,adam,0.021344556510963005,False,0.007637965552441965,0.017722009511254976,0.0012747353664695762,0.00036922038159262004,True,0.1839489860259136,0.04772721531009299,0.00012438826008205717,0.4037243681016327,0.0001580697800785673,0.003358404933802678,0.9146876652397089,0.00036594554562744064,0.0018848141490639314,0.2639341312475407,0.043111855482263574,True,-0.0009788336676124164
8421,1024,[2830],9,0.04693301575673876,64,512,512,rmsprop,0.004854240254783989,True,0.0014128423815200726,0.35031896080612374,0.0008175991483250633,0.02852077283160805,True,0.0007987681249624647,0.0035162891628897765,0.00036801849016352615,0.030318972986714335,0.00060442439606081,0.00537911510658646,0.00016852769611094465,0.0002927244405327528,0.08819200981253557,0.39975142303862043,0.0009076054526196849,True,-0.9629738363751515
8421,1024,"[4555, 2380]",8,0.05792811061247311,128,512,512,adagrad,0.5544152323907657,True,0.6434435931410405,0.5572809385331547,0.0008255694396629122,0.0016090788305310139,False,0.003857543193322599,0.006202839801394395,0.004596031175524986,0.00045330129648033196,0.007603017855037234,0.4271781048208837,0.0001512446586748199,0.010049226692031456,0.00015165549106024262,0.13055447321053743,0.00044974945513087883,False,0.17033662277407294
8421,1024,"[1699, 711, 4314, 2527]",7,0.011621988666566375,256,512,512,adagrad,0.00024071235527844495,False,0.20842913841117736,0.10303090622762477,0.020230023734826054,0.0555618924376243,False,0.03695096030756796,0.0008853593191297335,0.07574513868631881,0.02441490391224313,0.7206674868897786,0.2639594701414212,0.35502704803084173,0.0049234294239619185,0.0030860203067550355,0.6004451697833144,0.005829426399024407,True,0.09248053259770449
8421,1024,"[2759, 515, 4098, 1840]",4,0.010870308338337829,512,512,512,adagrad,0.002171178256837166,False,0.0002275169098660362,0.003852609922230023,0.005242249966551183,0.6661476931838259,False,0.17474955393657107,0.00011328739074649903,0.00021970039055618153,0.00018438455930005492,0.17010189931017058,0.00026397283926131443,0.0014648530999410098,0.0021404284657426734,0.013942848417625062,0.4763972560420261,0.027127108776462835,False,-0.1891573100925586
8421,1024,"[1949, 1325, 3003]",3,0.01813885745575094,512,512,512,rmsprop,0.1900330821160331,True,0.009345644167980944,0.0006968544721158463,0.00016735687023586857,0.6502540401752366,False,0.00011451143906741528,0.09227555731391845,0.002477543813602005,0.08394970750446458,0.18409288965923012,0.00154638325233742,0.852132825545954,0.0002390559808007749,0.2637606091373847,0.001780239889481148,0.03420398508281685,True,-6.368986298530575
8421,1024,"[539, 2486, 3789, 1411]",3,0.013512811201773675,32,512,512,adadelta,0.01559140937140567,False,0.00042323149026558663,0.04620245551160366,0.4666453990235165,0.5670844550875295,False,0.0010843029013123979,0.002316808396645439,0.0008688873535936118,0.19893733674036526,0.04007667348112776,0.003076044602159972,0.1673085365417327,0.0875181204753597,0.02571587532347029,0.11597359258009475,0.014200020733565953,False,-0.19896555110360703
